document_id,requirement_id,predicted_label,severity,applicability_decision,governing_document,evidence_file,evidence_pages,evidence_line_numbers,evidence_line_ids,evidence_section_heading,draft_evidence_quote,evidence_match_percent,rag_retrieval_score_percent,rag_reference_sources,model_confidence_percent,verification_status,notes
Test,CC-01,FLAG,Critical,APPLIES,Proposal_and_General_Notices.pdf,Proposal_and_General_Notices.pdf,1,12,Proposal_and_General_Notices.pdf|p1|L12,Federal requirements,FHWA-1273 is incorporated by reference. No FHWA-1273 attachment is included in this package.,100.0,57.2,CC-01_FHWA-1273.txt; CC-09_Buy_America_BABA.txt; CC-15_DelDOT_105.15.txt; CC-08_Addenda_Check.txt,86,VERBATIM_MATCH,
Test,CC-02,NO_FLAG,Info,APPLIES,Proposal_and_General_Notices.pdf,Proposal_and_General_Notices.pdf,1,"13, 14, 15",Proposal_and_General_Notices.pdf|p1|L13; Proposal_and_General_Notices.pdf|p1|L14; Proposal_and_General_Notices.pdf|p1|L15,Proposal guaranty / bid bond,Proposal Guaranty. The proposal shall include acceptable bid security equal to ten percent (10%) of the total bid price.,100.0,80.8,CC-02_DelDOT_102.8.txt; CC-04_DelDOT_103.5.txt; CC-03_DelDOT_102.15.txt; CC-14_DelDOT_108.1.txt,94,VERBATIM_MATCH,
Test,CC-03,NO_FLAG,Info,APPLIES,Proposal_and_General_Notices.pdf,Proposal_and_General_Notices.pdf,1,"16, 17, 18",Proposal_and_General_Notices.pdf|p1|L16; Proposal_and_General_Notices.pdf|p1|L17; Proposal_and_General_Notices.pdf|p1|L18,Non-collusive bidding certification,NON-COLLUSION CERTIFICATION - The required certification is to be completed and included with the proposal.,100.0,80.2,CC-03_DelDOT_102.15.txt; CC-02_DelDOT_102.8.txt; CC-11_DelDOT_104.2.txt; CC-12_DelDOT_104.3.txt,88,VERBATIM_MATCH,
Test,CC-04,NO_FLAG,Info,APPLIES,Addendum_B.pdf,Addendum_B.pdf,1,"7, 8",Addendum_B.pdf|p1|L7; Addendum_B.pdf|p1|L8,Revision to Performance and payment bonds,"Performance and Payment Bonds. Required bond coverage shall equal one hundred percent (100%) of the contract price, subject to the referenced surety conditions.",100.0,60.9,CC-04_DelDOT_103.5.txt; CC-02_DelDOT_102.8.txt; CC-13_Right_to_Audit.txt; CC-15_DelDOT_105.15.txt,88,VERBATIM_MATCH,
Test,CC-05,NO_FLAG,Info,APPLIES,General_Conditions.pdf,General_Conditions.pdf,1,"8, 9, 10",General_Conditions.pdf|p1|L8; General_Conditions.pdf|p1|L9; General_Conditions.pdf|p1|L10,Contract execution and proof of insurance,Contract Execution and Insurance. The successful bidder shall return required execution documents within the reference period and furnish required proof of insurance.,100.0,69.7,CC-05_DelDOT_103.7.txt; CC-13_Right_to_Audit.txt; CC-12_DelDOT_104.3.txt; CC-04_DelDOT_103.5.txt,86,VERBATIM_MATCH,
Test,CC-06,NO_FLAG,Info,APPLIES,Proposal_and_General_Notices.pdf,Proposal_and_General_Notices.pdf,1,"19, 20, 21",Proposal_and_General_Notices.pdf|p1|L19; Proposal_and_General_Notices.pdf|p1|L20; Proposal_and_General_Notices.pdf|p1|L21,Contractor Registration Act notice,Contractor Registration. A contractor or subcontractor performing covered work shall satisfy the required Delaware registration condition before beginning covered field work.,100.0,79.9,CC-06_19_Del_C_3604.txt; CC-07_29_Del_C_6967.txt; CC-12_DelDOT_104.3.txt; CC-05_DelDOT_103.7.txt,93,VERBATIM_MATCH,
Test,CC-07,NO_FLAG,Info,APPLIES,Proposal_and_General_Notices.pdf,Proposal_and_General_Notices.pdf,1,"22, 23, 24",Proposal_and_General_Notices.pdf|p1|L22; Proposal_and_General_Notices.pdf|p1|L23; Proposal_and_General_Notices.pdf|p1|L24,Delaware business / subcontractor licenses,Licenses. Required Delaware contractor/business and subcontractor license evidence shall be furnished within the reference timing stated in the applicable contract documents.,100.0,77.8,CC-07_29_Del_C_6967.txt; CC-06_19_Del_C_3604.txt; CC-14_DelDOT_108.1.txt; CC-05_DelDOT_103.7.txt,87,VERBATIM_MATCH,
Test,CC-08,FLAG,High,APPLIES,Proposal_and_General_Notices.pdf,Proposal_and_General_Notices.pdf,1,"25, 26, 27",Proposal_and_General_Notices.pdf|p1|L25; Proposal_and_General_Notices.pdf|p1|L26; Proposal_and_General_Notices.pdf|p1|L27,Addenda and Q&A; currency,Addenda Acknowledgment. Only the Addenda expressly listed in the original proposal need be acknowledged; later issued Addenda may be disregarded.,100.0,64.9,CC-08_Addenda_Check.txt; CC-11_DelDOT_104.2.txt; CC-10_DelDOT_105.6.txt; CC-12_DelDOT_104.3.txt,88,VERBATIM_MATCH,
Test,CC-09,FLAG,Critical,APPLIES,Proposal_and_General_Notices.pdf,Proposal_and_General_Notices.pdf,1,"7, 28, 29",Proposal_and_General_Notices.pdf|p1|L7; Proposal_and_General_Notices.pdf|p1|L28; Proposal_and_General_Notices.pdf|p1|L29,Buy America/BABA applicable Yes,Buy America/BABA applicable Yes ... Buy America / BABA. Domestic-content requirements do not apply to this project.,100.0,72.3,CC-09_Buy_America_BABA.txt; CC-11_DelDOT_104.2.txt; CC-08_Addenda_Check.txt; CC-15_DelDOT_105.15.txt,91,VERBATIM_MATCH,multi-part quote; every fragment verified verbatim at the cited lines
Test,CC-10,NO_FLAG,Info,APPLIES,General_Conditions.pdf,General_Conditions.pdf,1,"11, 12, 13",General_Conditions.pdf|p1|L11; General_Conditions.pdf|p1|L12; General_Conditions.pdf|p1|L13,Coordination / order of precedence,Coordination. Contract documents are complementary. Conflicts shall be resolved using the order of precedence supplied in the applicable contract documents.,100.0,73.8,CC-10_DelDOT_105.6.txt; CC-11_DelDOT_104.2.txt; CC-12_DelDOT_104.3.txt; CC-15_DelDOT_105.15.txt,89,VERBATIM_MATCH,
Test,CC-11,NO_FLAG,Info,APPLIES,General_Conditions.pdf,General_Conditions.pdf,1,"14, 15, 16",General_Conditions.pdf|p1|L14; General_Conditions.pdf|p1|L15; General_Conditions.pdf|p1|L16,Contract changes must follow written process,"Contract Changes. Scope, price, or time changes require the documented written process; oral direction alone does not modify the contract.",100.0,64.7,CC-12_DelDOT_104.3.txt; CC-11_DelDOT_104.2.txt,88,VERBATIM_MATCH,
Test,CC-12,NO_FLAG,Info,APPLIES,Addendum_C.pdf,Addendum_C.pdf,1,"7, 8",Addendum_C.pdf|p1|L7; Addendum_C.pdf|p1|L8,Revision to Notification of contract changes,Change Notification. Alleged changes require timely written notice and the reference follow-up documentation within the stated period.,100.0,66.5,CC-12_DelDOT_104.3.txt; CC-11_DelDOT_104.2.txt; CC-13_Right_to_Audit.txt,85,VERBATIM_MATCH,
Test,CC-13,NO_FLAG,Info,APPLIES,Proposal_and_General_Notices.pdf,Proposal_and_General_Notices.pdf,2,"2, 3",Proposal_and_General_Notices.pdf|p2|L2; Proposal_and_General_Notices.pdf|p2|L3,Right to audit and record retention,Audit Records. Prime and subcontract performance records remain reviewable and are retained for 36 months following final payment.,100.0,81.0,CC-13_Right_to_Audit.txt; CC-12_DelDOT_104.3.txt; CC-11_DelDOT_104.2.txt; CC-05_DelDOT_103.7.txt,94,VERBATIM_MATCH,
Test,CC-14,NO_FLAG,Info,APPLIES,General_Conditions.pdf,General_Conditions.pdf,1,"20, 21, 22",General_Conditions.pdf|p1|L20; General_Conditions.pdf|p1|L21; General_Conditions.pdf|p1|L22,Contract subletting,Subcontracting. Required Department approval/limits apply and the prime contractor remains responsible for contract performance.,100.0,72.1,CC-14_DelDOT_108.1.txt; CC-11_DelDOT_104.2.txt; CC-15_DelDOT_105.15.txt,86,VERBATIM_MATCH,
Test,CC-15,NO_FLAG,Info,DOES_NOT_APPLY,Proposal_and_General_Notices.pdf,,,,,,,0.0,0.0,,95,NOT_APPLICABLE_NO_EVIDENCE_NEEDED,applicability excluded by project metadata
Test,CC-16,NO_FLAG,Info,DOES_NOT_APPLY,General_Conditions.pdf,,,,,,,0.0,0.0,,95,NOT_APPLICABLE_NO_EVIDENCE_NEEDED,applicability excluded by project metadata
Test,CC-17,NO_FLAG,Info,APPLIES,Special_Provisions.pdf,Special_Provisions.pdf,1,"5, 6, 7",Special_Provisions.pdf|p1|L5; Special_Provisions.pdf|p1|L6; Special_Provisions.pdf|p1|L7,Liquidated damages schedule / rate logic,Liquidated Damages. The governing contract/reference schedule shall be used; no single invented flat rate applies to all contract values.,100.0,61.4,CC-17_DelDOT_108.9.txt; CC-15_DelDOT_105.15.txt; CC-18_DelDOT_109.4.txt; CC-11_DelDOT_104.2.txt,85,VERBATIM_MATCH,
Test,CC-18,NO_FLAG,Info,DOES_NOT_APPLY,General_Conditions.pdf,,,,,,,0.0,0.0,,95,NOT_APPLICABLE_NO_EVIDENCE_NEEDED,applicability excluded by project metadata
