document_id,requirement_id,predicted_label,severity,applicability_decision,governing_document,evidence_file,evidence_pages,evidence_line_numbers,evidence_line_ids,evidence_section_heading,draft_evidence_quote,evidence_match_percent,rag_retrieval_score_percent,rag_reference_sources,model_confidence_percent,verification_status,notes
DEV-MAPLE-RIDGE,CC-01,NO_FLAG,Info,DOES_NOT_APPLY,Proposal_and_General_Notices.pdf,,,,,,,0.0,0.0,,95,NOT_APPLICABLE_NO_EVIDENCE_NEEDED,applicability excluded by project metadata
DEV-MAPLE-RIDGE,CC-02,NO_FLAG,Info,APPLIES,Proposal_and_General_Notices.pdf,Proposal_and_General_Notices.pdf,1,"12, 13",Proposal_and_General_Notices.pdf|p1|L12; Proposal_and_General_Notices.pdf|p1|L13,Proposal guaranty / bid bond,Security accompanying the proposal must be in an acceptable form and total one-tenth (10%) of the bid amount.,100.0,80.8,CC-02_DelDOT_102.8.txt; CC-04_DelDOT_103.5.txt; CC-03_DelDOT_102.15.txt; CC-14_DelDOT_108.1.txt,94,VERBATIM_MATCH,
DEV-MAPLE-RIDGE,CC-03,NO_FLAG,Info,APPLIES,Proposal_and_General_Notices.pdf,Proposal_and_General_Notices.pdf,1,"14, 15, 16",Proposal_and_General_Notices.pdf|p1|L14; Proposal_and_General_Notices.pdf|p1|L15; Proposal_and_General_Notices.pdf|p1|L16,Non-collusive bidding certification,NON-COLLUSION CERTIFICATION - The required certification is to be completed and included with the proposal.,100.0,80.2,CC-03_DelDOT_102.15.txt; CC-02_DelDOT_102.8.txt; CC-11_DelDOT_104.2.txt; CC-12_DelDOT_104.3.txt,91,VERBATIM_MATCH,
DEV-MAPLE-RIDGE,CC-04,NO_FLAG,Info,APPLIES,Addendum_A.pdf,Addendum_A.pdf,1,"7, 8",Addendum_A.pdf|p1|L7; Addendum_A.pdf|p1|L8,Revision to Performance and payment bonds,"Performance and Payment Bonds. Required bond coverage shall equal one hundred percent (100%) of the contract price, subject to the referenced surety conditions.",100.0,60.9,CC-04_DelDOT_103.5.txt; CC-02_DelDOT_102.8.txt; CC-13_Right_to_Audit.txt; CC-15_DelDOT_105.15.txt,88,VERBATIM_MATCH,
DEV-MAPLE-RIDGE,CC-05,NO_FLAG,Info,APPLIES,General_Conditions.pdf,General_Conditions.pdf,1,"8, 9, 10",General_Conditions.pdf|p1|L8; General_Conditions.pdf|p1|L9; General_Conditions.pdf|p1|L10,Contract execution and proof of insurance,Contract Execution and Insurance. The successful bidder shall return required execution documents within the reference period and furnish required proof of insurance.,100.0,69.7,CC-05_DelDOT_103.7.txt; CC-13_Right_to_Audit.txt; CC-12_DelDOT_104.3.txt; CC-04_DelDOT_103.5.txt,86,VERBATIM_MATCH,
DEV-MAPLE-RIDGE,CC-06,NO_FLAG,Info,APPLIES,Proposal_and_General_Notices.pdf,Proposal_and_General_Notices.pdf,1,"17, 18, 19",Proposal_and_General_Notices.pdf|p1|L17; Proposal_and_General_Notices.pdf|p1|L18; Proposal_and_General_Notices.pdf|p1|L19,Contractor Registration Act notice,Registration. Required Delaware contractor registration must be in place before covered field operations commence.,100.0,79.9,CC-06_19_Del_C_3604.txt; CC-07_29_Del_C_6967.txt; CC-12_DelDOT_104.3.txt; CC-05_DelDOT_103.7.txt,93,VERBATIM_MATCH,
DEV-MAPLE-RIDGE,CC-07,NO_FLAG,Info,APPLIES,Addendum_A.pdf,Addendum_A.pdf,1,"11, 12",Addendum_A.pdf|p1|L11; Addendum_A.pdf|p1|L12,Revision to Delaware business / subcontractor licenses,Licenses. Required Delaware contractor/business and subcontractor license evidence shall be furnished within the reference timing stated in the applicable contract documents.,100.0,77.8,CC-07_29_Del_C_6967.txt; CC-06_19_Del_C_3604.txt; CC-14_DelDOT_108.1.txt; CC-05_DelDOT_103.7.txt,91,VERBATIM_MATCH,
DEV-MAPLE-RIDGE,CC-08,FLAG,High,APPLIES,Proposal_and_General_Notices.pdf,Proposal_and_General_Notices.pdf,1,"24, 25",Proposal_and_General_Notices.pdf|p1|L24; Proposal_and_General_Notices.pdf|p1|L25,Addenda and Q&A; currency,Only the Addenda expressly listed in the original proposal need be acknowledged; later issued Addenda may be disregarded.,100.0,64.9,CC-08_Addenda_Check.txt; CC-11_DelDOT_104.2.txt; CC-10_DelDOT_105.6.txt; CC-12_DelDOT_104.3.txt,88,VERBATIM_MATCH,
DEV-MAPLE-RIDGE,CC-09,NO_FLAG,Info,DOES_NOT_APPLY,Proposal_and_General_Notices.pdf,,,,,,,0.0,0.0,,95,NOT_APPLICABLE_NO_EVIDENCE_NEEDED,applicability excluded by project metadata
DEV-MAPLE-RIDGE,CC-10,NO_FLAG,Info,APPLIES,General_Conditions.pdf,General_Conditions.pdf,1,"11, 12, 13",General_Conditions.pdf|p1|L11; General_Conditions.pdf|p1|L12; General_Conditions.pdf|p1|L13,Coordination / order of precedence,"Document Coordination. Read all contract documents together; when a conflict exists, apply the same priority sequence listed in the applicable contract documents.",100.0,73.8,CC-10_DelDOT_105.6.txt; CC-11_DelDOT_104.2.txt; CC-12_DelDOT_104.3.txt; CC-15_DelDOT_105.15.txt,87,VERBATIM_MATCH,
DEV-MAPLE-RIDGE,CC-11,NO_FLAG,Info,APPLIES,General_Conditions.pdf,General_Conditions.pdf,1,"14, 15, 16",General_Conditions.pdf|p1|L14; General_Conditions.pdf|p1|L15; General_Conditions.pdf|p1|L16,Contract changes must follow written process,"Contract Changes. Scope, price, or time changes require the documented written process; oral direction alone does not modify the contract.",100.0,64.7,CC-12_DelDOT_104.3.txt; CC-11_DelDOT_104.2.txt,88,VERBATIM_MATCH,
DEV-MAPLE-RIDGE,CC-12,NO_FLAG,Info,APPLIES,General_Conditions.pdf,General_Conditions.pdf,1,"17, 18, 19",General_Conditions.pdf|p1|L17; General_Conditions.pdf|p1|L18; General_Conditions.pdf|p1|L19,Notification of contract changes,Change Notification. Alleged changes require timely written notice and the reference follow-up documentation within the stated period.,100.0,66.5,CC-12_DelDOT_104.3.txt; CC-11_DelDOT_104.2.txt; CC-13_Right_to_Audit.txt,77,VERBATIM_MATCH,
DEV-MAPLE-RIDGE,CC-13,FLAG,Medium,APPLIES,Proposal_and_General_Notices.pdf,Proposal_and_General_Notices.pdf,1,"27, 28",Proposal_and_General_Notices.pdf|p1|L27; Proposal_and_General_Notices.pdf|p1|L28,Right to audit and record retention,Only prime-contractor records are subject to audit and records need be retained for one (1) year after final payment.,100.0,81.0,CC-13_Right_to_Audit.txt; CC-12_DelDOT_104.3.txt; CC-11_DelDOT_104.2.txt; CC-05_DelDOT_103.7.txt,94,VERBATIM_MATCH,
DEV-MAPLE-RIDGE,CC-14,NO_FLAG,Info,DOES_NOT_APPLY,General_Conditions.pdf,,,,,,,0.0,0.0,,95,NOT_APPLICABLE_NO_EVIDENCE_NEEDED,applicability excluded by project metadata
DEV-MAPLE-RIDGE,CC-15,NO_FLAG,Info,DOES_NOT_APPLY,Proposal_and_General_Notices.pdf,,,,,,,0.0,0.0,,95,NOT_APPLICABLE_NO_EVIDENCE_NEEDED,applicability excluded by project metadata
DEV-MAPLE-RIDGE,CC-16,NO_FLAG,Info,DOES_NOT_APPLY,General_Conditions.pdf,,,,,,,0.0,0.0,,95,NOT_APPLICABLE_NO_EVIDENCE_NEEDED,applicability excluded by project metadata
DEV-MAPLE-RIDGE,CC-17,NO_FLAG,Info,APPLIES,Special_Provisions.pdf,Special_Provisions.pdf,1,"5, 6, 7",Special_Provisions.pdf|p1|L5; Special_Provisions.pdf|p1|L6; Special_Provisions.pdf|p1|L7,Liquidated damages schedule / rate logic,Liquidated Damages. The governing contract/reference schedule shall be used; no single invented flat rate applies to all contract values.,100.0,61.4,CC-17_DelDOT_108.9.txt; CC-15_DelDOT_105.15.txt; CC-18_DelDOT_109.4.txt; CC-11_DelDOT_104.2.txt,86,VERBATIM_MATCH,
DEV-MAPLE-RIDGE,CC-18,NO_FLAG,Info,DOES_NOT_APPLY,General_Conditions.pdf,,,,,,,0.0,0.0,,95,NOT_APPLICABLE_NO_EVIDENCE_NEEDED,applicability excluded by project metadata
