document_id,requirement_id,predicted_label,severity,applicability_decision,governing_document,evidence_file,evidence_pages,evidence_line_numbers,evidence_line_ids,evidence_section_heading,draft_evidence_quote,evidence_match_percent,rag_retrieval_score_percent,rag_reference_sources,model_confidence_percent,verification_status,notes
DEV-HARBOR-CROSSING,CC-01,FLAG,Critical,APPLIES,Proposal_and_General_Notices.pdf,Proposal_and_General_Notices.pdf,1,12,Proposal_and_General_Notices.pdf|p1|L12,Federal requirements,FHWA-1273 is incorporated by reference. No FHWA-1273 attachment is included in this package.,100.0,57.2,CC-01_FHWA-1273.txt; CC-09_Buy_America_BABA.txt; CC-15_DelDOT_105.15.txt; CC-08_Addenda_Check.txt,86,VERBATIM_MATCH,
DEV-HARBOR-CROSSING,CC-02,NO_FLAG,Info,APPLIES,Proposal_and_General_Notices.pdf,Proposal_and_General_Notices.pdf,1,"13, 14, 15",Proposal_and_General_Notices.pdf|p1|L13; Proposal_and_General_Notices.pdf|p1|L14; Proposal_and_General_Notices.pdf|p1|L15,Proposal guaranty / bid bond,Proposal Guaranty. The proposal shall include acceptable bid security equal to ten percent (10%) of the total bid price.,100.0,80.8,CC-02_DelDOT_102.8.txt; CC-04_DelDOT_103.5.txt; CC-03_DelDOT_102.15.txt; CC-14_DelDOT_108.1.txt,94,VERBATIM_MATCH,
DEV-HARBOR-CROSSING,CC-03,NO_FLAG,Info,APPLIES,Proposal_and_General_Notices.pdf,Proposal_and_General_Notices.pdf,1,"16, 17, 18",Proposal_and_General_Notices.pdf|p1|L16; Proposal_and_General_Notices.pdf|p1|L17; Proposal_and_General_Notices.pdf|p1|L18,Non-collusive bidding certification,NON-COLLUSION CERTIFICATION - The required certification is to be completed and included with the proposal.,100.0,80.2,CC-03_DelDOT_102.15.txt; CC-02_DelDOT_102.8.txt; CC-11_DelDOT_104.2.txt; CC-12_DelDOT_104.3.txt,89,VERBATIM_MATCH,
DEV-HARBOR-CROSSING,CC-04,NO_FLAG,Info,APPLIES,Addendum_B.pdf,Addendum_B.pdf,1,"7, 8",Addendum_B.pdf|p1|L7; Addendum_B.pdf|p1|L8,Revision to Performance and payment bonds,"Performance and Payment Bonds. Required bond coverage shall equal one hundred percent (100%) of the contract price, subject to the referenced surety conditions.",100.0,60.9,CC-04_DelDOT_103.5.txt; CC-02_DelDOT_102.8.txt; CC-13_Right_to_Audit.txt; CC-15_DelDOT_105.15.txt,88,VERBATIM_MATCH,
DEV-HARBOR-CROSSING,CC-05,NO_FLAG,Info,APPLIES,General_Conditions.pdf,General_Conditions.pdf,1,"8, 9, 10",General_Conditions.pdf|p1|L8; General_Conditions.pdf|p1|L9; General_Conditions.pdf|p1|L10,Contract execution and proof of insurance,Contract Execution and Insurance. The successful bidder shall return required execution documents within the reference period and furnish required proof of insurance.,100.0,69.7,CC-05_DelDOT_103.7.txt; CC-13_Right_to_Audit.txt; CC-12_DelDOT_104.3.txt; CC-04_DelDOT_103.5.txt,87,VERBATIM_MATCH,
DEV-HARBOR-CROSSING,CC-06,NO_FLAG,Info,APPLIES,Proposal_and_General_Notices.pdf,Proposal_and_General_Notices.pdf,1,"19, 20, 21",Proposal_and_General_Notices.pdf|p1|L19; Proposal_and_General_Notices.pdf|p1|L20; Proposal_and_General_Notices.pdf|p1|L21,Contractor Registration Act notice,Contractor Registration. A contractor or subcontractor performing covered work shall satisfy the required Delaware registration condition before beginning covered field work.,100.0,79.9,CC-06_19_Del_C_3604.txt; CC-07_29_Del_C_6967.txt; CC-12_DelDOT_104.3.txt; CC-05_DelDOT_103.7.txt,93,VERBATIM_MATCH,
DEV-HARBOR-CROSSING,CC-07,NO_FLAG,Info,APPLIES,Proposal_and_General_Notices.pdf,Proposal_and_General_Notices.pdf,1,"22, 23, 24",Proposal_and_General_Notices.pdf|p1|L22; Proposal_and_General_Notices.pdf|p1|L23; Proposal_and_General_Notices.pdf|p1|L24,Delaware business / subcontractor licenses,Licenses. Required Delaware contractor/business and subcontractor license evidence shall be furnished within the reference timing stated in the applicable contract documents.,100.0,77.8,CC-07_29_Del_C_6967.txt; CC-06_19_Del_C_3604.txt; CC-14_DelDOT_108.1.txt; CC-05_DelDOT_103.7.txt,85,VERBATIM_MATCH,
DEV-HARBOR-CROSSING,CC-08,FLAG,High,APPLIES,Proposal_and_General_Notices.pdf,Proposal_and_General_Notices.pdf,1,"25, 26, 27",Proposal_and_General_Notices.pdf|p1|L25; Proposal_and_General_Notices.pdf|p1|L26; Proposal_and_General_Notices.pdf|p1|L27,Addenda and Q&A; currency,Addenda Acknowledgment. Only the Addenda expressly listed in the original proposal need be acknowledged; later issued Addenda may be disregarded.,100.0,64.9,CC-08_Addenda_Check.txt; CC-11_DelDOT_104.2.txt; CC-10_DelDOT_105.6.txt; CC-12_DelDOT_104.3.txt,88,VERBATIM_MATCH,
DEV-HARBOR-CROSSING,CC-09,FLAG,Critical,APPLIES,Proposal_and_General_Notices.pdf,Proposal_and_General_Notices.pdf,1,"7, 28, 29",Proposal_and_General_Notices.pdf|p1|L7; Proposal_and_General_Notices.pdf|p1|L28; Proposal_and_General_Notices.pdf|p1|L29,Buy America/BABA applicable Yes,Buy America / BABA. Domestic-content requirements do not apply to this project.,100.0,72.3,CC-09_Buy_America_BABA.txt; CC-11_DelDOT_104.2.txt; CC-08_Addenda_Check.txt; CC-15_DelDOT_105.15.txt,91,VERBATIM_MATCH,
DEV-HARBOR-CROSSING,CC-10,NO_FLAG,Info,APPLIES,General_Conditions.pdf,General_Conditions.pdf,1,"11, 12, 13",General_Conditions.pdf|p1|L11; General_Conditions.pdf|p1|L12; General_Conditions.pdf|p1|L13,Coordination / order of precedence,Coordination. Contract documents are complementary. Conflicts shall be resolved using the order of precedence supplied in the applicable contract documents.,100.0,73.8,CC-10_DelDOT_105.6.txt; CC-11_DelDOT_104.2.txt; CC-12_DelDOT_104.3.txt; CC-15_DelDOT_105.15.txt,87,VERBATIM_MATCH,
